Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
 Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Portugal|RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação||RISTI|rist|1646-9895|1646-9895||AISTI - Associação Ibérica de Sistemas e Tecnologias de Informação|by-nc/4.0
Chile|RLA. Revista de lingüística teórica y aplicada||RLA|rla|0718-4883||0718-4883|Universidad de Concepción. Facultad de Humanidades y Arte|by-nc/4.0
Brazil|Rodriguésia||Rodriguésia|rod|2175-7860||2175-7860|Instituto de Pesquisas Jardim Botânico do Rio de Janeiro|by/4.0
Argentina|Runa||Runa|runa|1851-9628||1851-9628|Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras, Universidad de Buenos Aires|by-nc/4.0
South Africa|SA Crime Quarterly||SA crime q.|sacq|1991-3877|1991-3877|2413-3108|Institute for Security Studies (Pretoria)
South Africa|SA Journal of Industrial Psychology||SA j. ind. Psychol.|sajip|2071-0763|2071-0763|0258-5200|AOSIS Publishing|by-nc/4.0
South Africa|SA Journal of Radiology||S. Afr. J. radiol. (Online)|sajr|2078-6778|2078-6778|1027-202X|AOSIS Publishing|by-nc/4.0
South Africa|SA Orthopaedic Journal||SA orthop. j.|saoj|1681-150X|1681-150X|2309-8309|Champagne Media (Pty) Ltd
Venezuela|Saber||Saber|saber|1315-0162|1315-0162|2343-6468|Universidad de Oriente
Pepsic|Salud & Sociedad: investigaciones en psicologia de la salud y psicologia social||Salud & Sociedad|salsoc|0718-7475||0718-7475|Universidad Catolica del Norte, Universidad de Talca y la Universidad de Tarapacá.
Argentina|Salud colectiva||Salud colect.|sc|1851-8265||1851-8265|Universidad Nacional de Lanús|by-nc/4.0
Public Health|Salud Colectiva||Salud Colectiva|scol|1851-8265||1851-8265|Universidad Nacional de Lanús|by-nc/4.0
Venezuela|Salud de los Trabajadores||Salud de los Trabajadores|st|1315-0138|1315-0138||Universidad de Carabobo
Mexico|Salud mental||Salud Ment|sm|0185-3325|0185-3325||Instituto Mexicano de Psiquiatría Ramón de la Fuente|by-nc/3.0
Mexico|Salud Pública de México||Salud pública Méx|spm|0036-3634|0036-3634||Instituto Nacional de Salud Pública
Public Health|Salud Pública de México||Salud pública Méx|spm|0036-3634|0036-3634||Instituto Nacional de Salud Pública
Venezuela|Salus||Salus|s|1316-7138|1316-7138||Universidad de Carabobo
South Africa|SAMJ: South African Medical Journal||SAMJ, S. Afr. med. j.|samj|0256-9574|0256-9574|2078-5135|Health and Medical Publishing Group|by-nc/4.0
Spain|Sanidad Militar||Sanid. Mil.|sm|1887-8571|1887-8571||Ministerio de Defensa
Brazil|Sao Paulo Medical Journal|Sao Paulo Med J|Sao Paulo Med. J.|spmj|1516-3180|1516-3180|1806-9460|Associação Paulista de Medicina - APM|by/4.0
Pepsic|Saúde & Transformação Social||Saúde Transform. Soc.|sts|2178-7085||2178-7085|Universidade Federal de Santa Catarina|by-nc/4.0
Brazil|Saúde e Sociedade||Saude soc.|sausoc|0104-1290|0104-1290|1984-0470|Faculdade de Saúde Pública, Universidade de São Paulo.|by-nc/4.0
Brazil|Saúde em Debate||Saúde debate|sdeb|0103-1104|0103-1104|2358-2898|Centro Brasileiro de Estudos de Saúde|by-nc/4.0
Brazil|Sba: Controle & Automação Sociedade Brasileira de Automatica||Sba Controle & Automação|ca|0103-1759|0103-1759||Sociedade Brasileira de Automática|by-nc/4.0
Brazil|Scientia Agricola||Sci. agric. (Piracicaba, Braz.)|sa|0103-9016|0103-9016|1678-992X|São Paulo - Escola Superior de Agricultura "Luiz de Queiroz"|by-nc/4.0
Peru|Scientia Agropecuaria||Scientia Agropecuaria|agro|2077-9917|2077-9917||Universidad Nacional de Trujillo. Facultad de Ciencias Agropecuarias|by-nc/4.0
Brazil|Scientiae Studia||Sci. stud.|ss|1678-3166|1678-3166|2316-8994|Universidade de São Paulo, Departamento de Filosofia|by/4.0
Argentina|Scripta Mediaevalia||Scripta Mediaevalia|scrip|1851-8753|1851-8753||Centro de Estudios Filosóficos Medievales, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo|by-nc/4.0
South Africa|Scriptura||Scriptura|scriptur|2305-445X|2305-445X|0254-1807|Stellenbosch University, Faculty of Theology|by-nc/4.0
Mexico|Secuencia||Secuencia|secu|0186-0348|0186-0348||Instituto de Investigaciones Dr. José María Luis Mora|by-nc/3.0
Colombia|Semestre Económico||Semest. Econ.|seec|0120-6346|0120-6346||Universidad de Medellín|by-nc/4.0
Brazil|Sequência (Florianópolis)||Sequência (Florianópolis)|seq|2177-7055||2177-7055|Programa de Pós-Graduação em Direito da Universidade Federal de Santa Catarina|by/4.0
Argentina|Serie correlación geológica||Ser. correl. geol.|scg|1666-9479||1666-9479|Instituto Superior de Correlación Geológica (INSUGEO-CONICET)|by-nc/4.0
Brazil|Serviço Social & Sociedade||Serv. Soc. Soc.|sssoc|0101-6628|0101-6628|2317-6318|Cortez Editora Ltda|by-nc/4.0
Brazil|Sexualidad, Salud y Sociedad (Rio de Janeiro)||Sex., Salud Soc. (Rio J.)|sess|1984-6487||1984-6487|Centro Latino-Americano em Sexualidade e Direitos Humanos (CLAM/IMS/UERJ)|by-nc/4.0
Chile|Si Somos Americanos||Si Somos Americanos|ssa|0719-0948||0719-0948|Universidad Arturo Prat. Instituto de Estudios Internacionales  (INTE)|by/4.0
Colombia|Signo y Pensamiento||Signo pensam.|signo|0120-4823|0120-4823||Pontificia Universidad Javeriana
Mexico|Signos filosóficos||Sig. Fil|signosf|1665-1324|1665-1324||UAM, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades|by-nc/3.0
Mexico|Signos históricos||Sig. his|sh|1665-4420|1665-4420||UAM, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades|by-nc/3.0
Portugal|Silva Lusitana||Silva Lus.|slu|0870-6352|0870-6352||Unidade de Silvicultura e Produtos Florestais|by-nc/4.0
Mexico|Sinéctica||Sinéctica|sine|1665-109X|1665-109X||Instituto Tecnológico y de Estudios Superiores de Occidente, Departamento de Educación y Valores|by-nc/3.0
Pepsic|SMAD. Revista eletrônica saúde mental álcool e drogas||SMAD, Rev. Eletrônica Saúde Mental Álcool Drog. (Ed. port.)|smad|1806-6976||1806-6976|Universidade de São Paulo, Escola de Enfermagem de Ribeirão Preto
South Africa|Social Work||Social work (Stellenbosch. Online)|sw|0037-8054|0037-8054|2312-7198|Department of Social Work, Stellenbosch University/ Universiteit Stellenbosch
Social Sciences|Sociedad (Buenos Aires)||Sociedad (B. Aires)|s_rsoc|0327-7712|0327-7712||Universidad de Buenos Aires. Facultad de Ciencias Sociales|by-nc/4.0
Colombia|Sociedad y Economía||Soc. Econ.|soec|1657-6357||1657-6357|Facultad de Ciencias Sociales y Económicas- Universidad del Valle|by/4.0
Argentina|Sociedad y religión||Soc. relig.|syr|1853-7081||1853-7081|Area Sociedad, Cultura y Religión, Centro de Estudios e Investigaciones Laborales - CONICET|by-nc/4.0
Brazil|Sociedade & Natureza||Soc. nat.|sn|1982-4513||1982-4513|Universidade Federal de Uberlândia, Instituto de Geografia, Programa de Pós-Graduação em Geografia|by-nc/4.0
Brazil|Sociedade e Estado||Soc. estado.|se|0102-6992|0102-6992||Departamento de Sociologia da Universidade de Brasília|by-nc/4.0
Argentina|Sociedades precapitalistas||Soc. precapitalistas|sopre|2250-5121||2250-5121|Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata|by-nc/4.0
Argentina|Sociohistórica||Sociohistórica|sochis|1852-1606||1852-1606|Centro de Investigaciones Socio Históricas, Departamento de Historia, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata|by-nc/4.0
Portugal|Sociologia||Sociologia|soc|0872-3419|0872-3419||Faculdade de Letras da Universidade do Porto|by-nc/4.0
Portugal|Sociologia, Problemas e Práticas||Sociologia, Problemas e Práticas|spp|0873-6529|0873-6529||Editora Mundos Sociais|by-nc/4.0
Brazil|Sociologias||Sociologias|soc|1517-4522|1517-4522|1807-0337|Programa de Pós-Graduação em Sociologia - UFRGS|by-nc/4.0
Social Sciences|Sociologias||Sociologias|s_soc|1517-4522|1517-4522||Programa de Pós-Graduação em Sociologia - UFRGS|by-nc/4.0
Mexico|Sociológica (México)||Sociológica (Méx.)|soc|0187-0173|0187-0173||UAM, Unidad Azcapotzalco, División de Ciencias Sociales y Humanidades|by-nc/3.0
Brazil|Soldagem & Inspeção||Soldag. insp.|si|0104-9224|0104-9224|1980-6973|Associação Brasileira de Soldagem|by-nc/4.0
Colombia|Sophia||sophia|sph|1794-8932|1794-8932||Universidad La Gran Colombia|by-nc/4.0
South Africa|South African Dental Journal||S. Afr. dent. j.|sadj|0011-8516|0011-8516|0375-1562|The South African Dental Association (SADA)
South Africa|South African Journal of Agricultural Extension||S Afr. Jnl. Agric. Ext.|sajae|0301-603X|0301-603X|2413-3221|South African Society of Agricultural Extension (SASAE)
South Africa|South African Journal of Animal Science||S. Afr. j. anim. sci.|sajas|0375-1589|0375-1589|2221-4062|The South African Society for Animal Science (SASAS)|by-nc/4.0
South Africa|South African Journal of Chemistry||S.Afr.j.chem. (Online)|sajc|0379-4350|0379-4350|1996-840X|The South African Chemical Institute
South Africa|South African Journal of Child Health||S. Afr. j. child health|sajch|1999-7671|1999-7671|1994-3032|Health & Medical Publishing Group|by-nc/4.0
South Africa|South African Journal of Childhood Education||SAJCE|sajce|2223-7682|2223-7682|2223-7674|University of Johannesburg: Centre for Education Practice Research|by-nc/4.0
South Africa|South African Journal of Communication Disorders||S. Afr. J. Commun. Disord.|sajcd|2225-4765|2225-4765|0379-8046|AOSIS Publishing|by-nc/4.0
South Africa|South African Journal of Economic and Management Sciences||S. Afr. j. econ. manag. sci.|sajems|2222-3436|2222-3436|1015-8812|University of Pretoria
South Africa|South African Journal of Education||S. Afr. j. educ.|saje|0256-0100|0256-0100|2076-3433|Education Association of South Africa (EASA)
South Africa|South African Journal of Enology and Viticulture||S. Afr. J. Enol. Vitic.|sajev|2224-7904|2224-7904|0253-939X|Stellenbosch University
South Africa|South African Journal of Industrial Engineering||S. Afr. J. Ind. Eng.|sajie|2224-7890|2224-7890|1012-277X|The Southern African Institute for Industrial Engineering|by-nc/4.0
South Africa|South African Journal of Occupational Therapy||S. Afr. j. occup. ther.|sajot|2310-3833|2310-3833|0038-2337|The Occupational Therapy Association of South Africa
South Africa|South African Journal of Psychiatry||S. Afr. j. psyc.|sajp|2078-6786|2078-6786|1608-9685|Health and Medical Publishing Group|by-nc/4.0
South Africa|South African Journal of Science||S. Afr. j. sci.|sajs|0038-2353|0038-2353|1996-7489|Academy of Science of South Africa|by-nc/4.0
South Africa|South African Journal of Sports Medicine||SA J. Sports Med.|sajsm|1015-5163|1015-5163|2078-516X|Health and Medical Publishing Group|by-nc/4.0
South Africa|South African Journal of Surgery||S. Afr. j. surg.|sajsurg|0038-2361|0038-2361|2078-5151|Association of Surgeons of South Africa|by-nc/4.0
South Africa|Southern African Journal of Critical Care (Online)||South. Afr. j. crit. care (Online)|sajcc|1562-8264|1562-8264|2078-676X|Health & Medical Publishing Group|by-nc/4.0
South Africa|Southern African Journal of HIV Medicine||South. Afr. j. HIV med. (Online)|sajhivmed|2078-6751|2078-6751|1608-9693|Health and Medical Publishing Group|by-nc/4.0
South Africa|Studia Historiae Ecclesiasticae||Studia Hist. Ecc.|she|1017-0499|1017-0499|2412-4265|The Church History Society of Southern Africa
Argentina|Studia Politicæ||Studia Politicæ|studia|2408-4182||2408-4182|Editorial de la Universidad Católica de Córdoba|by-nc/4.0
Pepsic|Stylus (Rio de Janeiro)||Stylus (Rio J.)|stylus|1676-157X|1676-157X||Escola de Psicanálise dos Fóruns do Campo Lacaniano - Brasil
Argentina|Subjetividad y procesos cognitivos||Subj. procesos cogn.|spc|1852-7310||1852-7310|Universidad de Ciencias Empresariales y Sociales|by-nc/4.0
Colombia|Suma Psicológica||Suma Psicol.|sumps|0121-4381|0121-4381||Fundación Universitaria Konrad Lorenz|by/4.0
Pepsic|Suma Psicológica||Suma Psicol.|suma|0121-4381|0121-4381||Fundación Universitaria Konrad Lorenz|by-nc/4.0
Brazil|Summa Phytopathologica||Summa phytopathol.|sp|0100-5405|0100-5405||Grupo Paulista de Fitopatologia|by-nc/4.0
Pepsic|Summa psicológica UST (En línea)||Summa psicol. UST (En línea)|summa|0719-448x|0719-448x|0718-0446|Asociación Chilena de Revistas Científicas de Psicología
Mexico|Superficies y vacío||Superf. vacío|sv|1665-3521|1665-3521||Sociedad Mexicana de Ciencia y Tecnología de Superficies y Materiales A.C.|by-nc/3.0
Social Sciences|Sur - Revista Internacional de Direitos Humanos||Sur|s_sur|1806-6445|1806-6445||Sur - Rede Universitária de Direitos Humanos|by-nc/4.0
Brazil|Sur. Revista Internacional de Direitos Humanos||Sur, Rev. int. direitos human.|sur|1806-6445|1806-6445|1983-3342|Sur - Rede Universitária de Direitos Humanos|by-nc/4.0
Argentina|Synthesis (La Plata)||Synthesis (La Plata)|synth|0328-1205|0328-1205|1851-779X|Centro de Estudios Helénicos|by-nc/4.0
Brazil|São Paulo em Perspectiva||São Paulo Perspec.|spp|0102-8839|0102-8839|1806-9452|Fundação SEADE|by-nc/4.0
Social Sciences|T'inkazos||T'inkazos|s_tinkazos|1990-7451|1990-7451||Fundación para la Investigación Estratégica en Bolivia (PIEB)|by-nc/4.0
Colombia|Tabula Rasa||Tabula Rasa|tara|1794-2489|1794-2489||UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA
Colombia|Tecciencia||Tecciencia|ecci|1909-3667|1909-3667||Universidad ECCI|by-nc/4.0
Colombia|Tecno Lógicas||Tecno. Lógicas.|teclo|0123-7799|0123-7799||Instituto Tecnológico Metropolitano - ITM|by/4.0
Cuba|Tecnología Química||RTQ|rtq|2224-6185||2224-6185|Universidad de Oriente|by-nc/4.0
Mexico|Tecnología y ciencias del agua||Tecnol. cienc. agua|tca|2007-2422||2007-2422|Instituto Mexicano de Tecnología del Agua, Coordinación de Comunicación, Participación e Información|by-nc/3.0
Colombia|Tecnura||Tecnura|tecn|0123-921X|0123-921X||Universidad Distrital Francisco José de Caldas|by/4.0
Colombia|Tecné, Episteme y Didaxis: TED||Rev. Fac. Cienc. Tecnol.|ted|0121-3814|0121-3814||Universidad Pedagógica Nacional|by/4.0
Brazil|TEMA (São Carlos)||TEMA (São Carlos)|tema|2179-8451||2179-8451|Sociedade Brasileira de Matemática Aplicada e Computacional|by/4.0
Pepsic|Temas em Psicologia||Temas psicol.|tp|1413-389X|1413-389X||Sociedade Brasileira de Psicologia
Argentina|Temas medievales||Temas mediev.|tmedie|0327-5094|0327-5094|1850-2628|Departamento de Investigaciones Medievales del Instituto Multidisciplinario de Historia y Ciencias Humanas (DIMED-IMHICIHU-CONICET)|by-nc/4.0
Argentina|Temas y Debates||Temas debates (En línea)|tede|1853-984X||1853-984X|Universidad Nacional de Rosario. Facultad de Ciencia Política y Relaciones Internacionales|by-nc/4.0
Pepsic|Tempo psicanalitico||Tempo psicanal.|tpsi|0101-4838|0101-4838|2316-6576|Sociedade de Psicanálise Iracy Doyle
Brazil|Tempo Social||Tempo soc.|ts|0103-2070|0103-2070|1809-4554|Departamento de Sociologia da Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo|by-nc/4.0
Social Sciences|Tempo Social||Tempo soc.|s_ts|0103-2070|0103-2070||Departamento de Sociologia da Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de Sâo Paulo|by-nc/4.0
Brazil|Tempo||Tempo|tem|1413-7704|1413-7704||EdUFF - Editora da UFF|by-nc/4.0
Chile|Teología y vida||Teol. vida|tv|0049-3449|0049-3449|0717-6295|Pontificia Universidad Católica de Chile. Facultad de Teología|by-nc/4.0
Social Sciences|Teoria & Sociedade||Teor. soc.|s_tsoc|1518-4471|1518-4471||UNIVERSIDADE FEDERAL DE MINAS GERAIS (UFMG)|by-nc/4.0
Chile|Terapia psicológica||Ter Psicol|terpsicol|0718-4808||0718-4808|Sociedad Chilena de Psicología Clínica|by-nc/4.0
Mexico|Terra Latinoamericana||Terra Latinoam|tl|0187-5779|0187-5779|2395-8030|Sociedad Mexicana de la Ciencia del Suelo A.C.|by-nc/3.0
Brazil|Texto & Contexto - Enfermagem||Texto contexto - enferm.|tce|0104-0707|0104-0707|1980-265X|Universidade Federal de Santa Catarina, Programa de  Pós Graduação em Enfermagem|by/4.0
Spain|The European journal of psychiatry (edición en español)||Eur. J. Psychiat. (Ed. esp.)|ejp|1579-699X|1579-699X||Universidad de Zaragoza
Spain|The European Journal of Psychiatry||Eur. J. Psychiat.|ejpen|0213-6163|0213-6163||Universidad de Zaragoza
Spain|The European Journal of Psychology Applied to Legal Context||The European Journal of Psychology Applied to Legal Context|ejpalc|1889-1861|1889-1861||Sociedad Española de Psicología Jurídica y Forense
Argentina|The Journal of Argentine Chemical Society||J. Argent. Chem. Soc.|jacs|1852-1428||1852-1428|Asociación Química Argentina|by-nc/4.0
Colombia|Theologica Xaveriana||Theol. Xave.|thxa|0120-3649|0120-3649||Facultad de Teología de la Pontificia Universidad Javeriana.|by/4.0
Brazil|Theoretical and Experimental Plant Physiology||Theor. Exp. Plant Physiol.|txpp|2197-0025||2197-0025|Sociedade Brasileira de Fisiologia Vegetal|by-nc/4.0
Mexico|Therya||Therya|therya|2007-3364||2007-3364|Centro de Investigaciones Biológicas del Noroeste|by-nc/3.0
Venezuela|Tiempo y Espacio||Tiempo y Espacio|te|1315-9496|1315-9496||Instituto Pedagógico de Caracas.
Bolivia|Tinkazos||Tinkazos|rbcst|1990-7451||1990-7451|Fundación PIEB|by-nc-sa/4.0
Mexico|TIP. Revista especializada en ciencias químico-biológicas||TIP|tip|1405-888X|1405-888X||Universidad Nacional Autónoma de México, Facultad de Estudios Superiores, Plantel Zaragoza|by-nc/3.0
Brazil|Topoi (Rio de Janeiro)||Topoi (Rio J.)|topoi|2237-101X||2237-101X|Programa de Pós-Graduação em História Social da Universidade Federal do Rio de Janeiro|by-nc/4.0
Social Sciences|Topoi: Revista de História||Topoi|s_topoi|1518-3319|1518-3319||Universidade Federal do Rio de Janeiro|by-nc/4.0
Portugal|Tourism & Management Studies||TMStudies|tms|2182-8458|2182-8458||Escola Superior de Gestão, Hotelaria e Turismo da Universidade do Algarve|by-nc/4.0
Portugal|Toxicodependências||Toxicodependências|tox|0874-4890|0874-4890||Instituto da Droga e da Toxicodependência, I.P.
Argentina|Trabajo y sociedad||Trab. soc.|tys|1514-6871||1514-6871|Universidad Nacional de Santiago del Estero. Facultad de Humanidades y Ciencias Sociales. Instituto de Estudios para el desarrollo Social (INDES)|by-nc/4.0
Argentina|Trabajos y comunicaciones||Trab. y com.|traco|2346-8971||2346-8971|Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata|by-nc/4.0
Brazil|Trabalho, Educação e Saúde||Trab. educ. saúde|tes|1981-7746||1981-7746|Fundação Oswaldo Cruz, Escola Politécnica de Saúde Joaquim Venâncio|by-nc/4.0
Brazil|Trabalhos em Linguística Aplicada||Trab. linguist. apl.|tla|0103-1813|0103-1813|2175-764X|UNICAMP. Departamento de Linguística Aplicada|by-nc/4.0
Mexico|Trace (México, DF)||Trace (Méx. DF)|trace|0185-6286|0185-6286|2007-2392|Centro de Estudios Mexicanos y Centroamericanos (CEMCA)|by-nc/3.0
Brazil|Trans/Form/Ação||Trans/Form/Ação|trans|0101-3173|0101-3173|1980-539X|Universidade Estadual Paulista, Departamento de Filosofia|by-nc/4.0
